           x vx                   y vy                  z vz                          
-2.804914779314964e-1  2.201706189183781e-001   -3.098967551889689e-003     
-2.257699568455940e-002   -1.955469305329330e-002   -1.763241332578208e-003 Mercury
 3.696392492864324e-1  6.186862115131430e-001    9.877137113336785e-004     
-1.744532521957647e-002    1.028966412170398e-002   -1.365652815933703e-003 Venus
 9.787811275791054e-1 -1.789460982257209e-001    1.200415819761494e-001     
 2.883876218675041e-003    1.689745082164893e-002   -7.184686743324963e-004 Earth
-1.577353952868551e+0  4.697246580181500e-001   -1.624818690830796e-001     
-3.191237009445199e-003   -1.238776234580675e-002    1.351199210015886e-004 Mars
-5.235805589304313e+0  1.398389558387249e+000   -5.465731661752190e-001     
-1.972987872900157e-003   -6.918648763507688e-003    2.389679500284747e-004 Jupiter
-7.659073412392973e-1  8.991964477290457e+000   -6.649466241383445e-001     
-5.845957408458425e-003   -4.410251231666559e-004   -3.678243355729934e-004 Saturn
 1.534300439108971e+1 -1.271966437017649e+001    2.222311596758653e+000     
 2.424642863038719e-003    2.856901172418704e-003    8.605977932736222e-005 Uranus
 1.466426139451673e+1 -2.605485304385314e+001    3.195755522193934e+000     
 2.711177875712683e-003    1.566560076762450e-003    1.083782361711807e-004 Neptune
-1.252432651659860e+1 -2.776814428402087e+001    4.881453106783177e+000     
 2.874776152550461e-003   -1.827338365967792e-003   -3.839738937095865e-004 Pluto
